,B cell,Conventional dendritic cell,Endothelial A,Endothelial B,Epithelial crypt,Epithelial other,Epithelial villi,Glial,Macrophage,Malignancy epithelial A,Malignancy epithelial B,Mast cell,Monocyte,Neutrophil,NK cell,Pericyte,Plasma,Plasmablast,Plasmacytoid dendritic cell,Smooth muscle,Stroma A,Stroma B.1,Stroma B.2,Stroma C,Stroma D,T cell CD4,T cell CD8,T cell regulatory
SDCCAG8,0.043202846975089,0.0387772435897436,0.0426884996191927,0.0624094202898551,0.0231665458061397,0.00894788593903638,0.0152093215095896,0.0346896322183392,0.0812827628738822,0.144313192093319,0.151172529313233,0.022211498111624,0.0151654411764706,0.0150347076146403,0.00196506550218341,0.0249343358912293,0.0254532359807282,0.0242950654582074,0.0216101694915254,0.0148590110339191,0.00386779184247539,0.0134223568281938,0.0324263038548753,0.0312468160978095,0.0263607499244028,0.00277777777777778,0.029903536977492,0.0208922861272942
SDF2L1,0.0880427046263345,0.0619182692307692,0.0594440213252094,0.0749094202898551,0.0717524776408025,0.0590953785644051,0.0671787997525263,0.0738392411382926,0.0991331757289204,0.197063824125135,0.253549493499242,0.0693789341166597,0.0374540441176471,0.0389093395035759,0.0106986899563319,0.0433202863470155,0.109444692792927,0.128356831151393,0.0498587570621469,0.026710257458112,0.0249648382559775,0.042056718061674,0.0765409193980623,0.0462748344370861,0.0449576655579075,0.00277777777777778,0.0663451232583065,0.0534386087870691
SDHA,0.105836298932384,0.0736490384615385,0.0897182025894897,0.129528985507246,0.166555474981871,0.0807276302851524,0.169158589399876,0.117773339990015,0.120238462329119,0.512606632268366,0.438681502751855,0.0615736466638691,0.0333180147058824,0.0306005469078671,0.00196506550218341,0.0885383941906577,0.0854045596781404,0.0862286002014099,0.0357344632768362,0.0413404168369432,0.0376230661040788,0.048113986784141,0.0971552257266543,0.0804062659195109,0.0708119141215603,0.00972222222222222,0.115648445873526,0.0803780279469096
SDHAF2,0.0289679715302491,0.0140977564102564,0.0236481340441736,0.0341485507246377,0.0181387478849408,9.83284169124871e-05,0.0163435759950505,0.0225411882176735,0.0190290197690753,0.112171971791422,0.0910305495732631,0.0114687368862778,0.00528492647058824,0.00483277240218763,0,0.0187541844775197,0.0113470421695723,0.00969284994964753,0.00748587570621469,0.00979158152840212,0.00668073136427567,0.00874174008810573,0.0184085755514327,0.0108698420784514,0.0129044451164197,0,0.0234726688102894,0.0159424416312585
SDHC,0.0481850533807829,0.0543541666666667,0.0586824067022087,0.0920289855072464,0.0590379502054629,0.0364798426745329,0.0520210352650031,0.110492594441671,0.0858738479460033,0.391374798562959,0.324499481534657,0.0487326898866974,0.0243566176470588,0.0260780395456458,0.0194323144104803,0.0622212494206108,0.0457184721601351,0.0331906680093991,0.0357344632768362,0.0311646914589293,0.0193389592123769,0.0390280837004405,0.0753040610183467,0.0624490575649516,0.0401194436044753,0.0166666666666667,0.0631296891747053,0.0529567655175435
SDHD,0.0204270462633452,0.0245464743589744,0.0261233815689261,0.0331521739130435,0.0385883490452018,0.0295968534906588,0.0410909465869251,0.0411382925611583,0.033624558878953,0.176750099794497,0.11057270479381,0.022295425933697,0.0107996323529412,0.0144036600757257,0.00778748180494905,0.0233892980378019,0.0182511299855958,0.0152316213494461,0.0103107344632768,0.014940743767879,0.0165260196905767,0.0134223568281938,0.0258297258297258,0.0316288843606724,0.0204641669186574,0.00972222222222222,0.0288317256162915,0.0233015024749222
SDK1,0.00832740213523132,0.0102836538461538,0.0112718964204113,0.00996376811594203,0.00353879622915156,0.00698131760078663,0,0.00847894824430021,0.0114914174118614,0.00840047901358684,0.005882587540879,0.012224087284935,0.0041360294117647,0.00293962978544384,0.00487627365356623,0.0129345418962765,0.00757214523419262,0.0024756629741524,0.00748587570621469,0.0112219043727013,0.0179324894514768,0.0222329295154185,0.0157287157287157,0.0355769230769231,0.0234880556395525,0,0.0132904608788853,0.0110802050024092
SDS,0.00619217081850534,0.028713141025641,0.0067022086824067,0.0123188405797101,0,9.83284169124871e-05,0,0.0209186220668997,0.248000822283894,0.00573929242005352,0.0109874770678791,0.0212882920688208,0.0209099264705882,0.00683108960875052,0.00342066957787482,0.00814492455065149,0.0127874633685988,0.00381839543470964,0.0159604519774011,0.00402942378422558,0.00527426160337553,0.000757158590308369,0.0179962894248609,0.00717651553744269,0.00594950105836105,0.00972222222222222,0.000964630225080384,0.00481624249857637
SEC11A,0.0702491103202847,0.0460849358974359,0.0457349581111957,0.0884057971014493,0.0410539037950205,0.0394296951819076,0.0365539286450815,0.063854218671992,0.0760749648816254,0.182796907109804,0.174982053122757,0.041682752832564,0.0259650735294118,0.0185054690786706,0.00778748180494905,0.0508394705670289,0.036032881339095,0.0336941926821081,0.0216101694915254,0.0236861463015938,0.0137130801687764,0.0219575991189427,0.0602556173984745,0.0415626591951095,0.0383051103719383,0,0.0642015005359057,0.043801743396557
SEC11C,0.0937366548042705,0.0357323717948718,0.0312642802741813,0.0508152173913043,0.0667730239303843,0.0423795476892822,0.0416065168075892,0.046214012314861,0.051543495391784,0.13288487411109,0.142757437983569,0.0361435165757449,0.0151654411764706,0.00357067732435843,0.0165211062590975,0.0251918422001339,0.18365121939105,0.326577710641155,0.032909604519774,0.020049039640376,0.0109001406469761,0.0255368942731278,0.0367553081838796,0.0202941925624045,0.0253023888720895,0.00972222222222222,0.0459807073954984,0.0432760961934382
