,Astrocyte A,Astrocyte B,Endothelial,Inhibitory neuron A,Inhibitory neuron B,Inhibitory neuron C,L2/3 neuron,L4 neuron,L6 neuron,Microglia A,Microglia B,Oligodendrocyte,Oligodendrocyte precursor cell
IRF7,0.0699259914729306,0.0554722022402631,0.0878075048180478,0.0437569060773481,0.0278203723986856,0.0453987240829346,0.0622049968855976,0.0573741620270424,0.0812590353528716,0.0960182562165565,0.0920960451977401,0.0392538821463368,0.0407429963459196
IRF8,0.0128107151476148,0.0132360497379509,0.00765786192041719,0.0106077348066298,0.0245345016429354,0.0142982456140351,0.023240362654855,0.024991478241109,0.0246155868050992,0.259379918161788,0.118197740112994,0.00743892610991496,0.0146424221332869
IRF9,0.294364894216073,0.238187236666324,0.18598231493028,0.106372007366483,0.171303395399781,0.107759170653907,0.127469028998547,0.147363935916373,0.184032067288737,0.192965061378659,0.128367231638418,0.0788632017032128,0.322803201670437
IRGM,0.0330021719893814,0.0318363991367794,0.0192211767373314,0.0511233885819521,0.0365826944140197,0.0297687400318979,0.0381894940826355,0.0432848539938643,0.0480089367853857,0.014494806421152,0.0137909604519774,0.0170495687840552,0.0228206020532452
IRS1,0.0241533263615156,0.0403658411262974,0.0160469334542569,0.134364640883978,0.113253012048193,0.0965948963317384,0.105668212333033,0.0975968639927281,0.0968984097778946,0.0110324205225055,0.0118700564971751,0.0130441319749329,0.0456151035322777
IRS2,0.314797683211327,0.312691398622958,0.0665514114046026,0.503057090239411,0.543702081051479,0.316690590111643,0.779002007059312,0.529706851494148,0.73574714154291,0.2609537299339,0.111531073446328,0.0992993492668728,0.174551940142683
ISG15,0.0609967017939023,0.0331723358339328,0.118813059743793,0.0772744014732965,0.0814895947426068,0.0677272727272727,0.0770157104297875,0.0628280877173049,0.0373636483112104,0.0371576959395656,0.0415875706214689,0.0201528801857176,0.125656864451018
ISG20,0.0019507682406886,0,0.01094547103503,0.00950276243093923,0,0.00361244019138756,0.00240847117447574,0,0.00555920620318045,0,0.0033954802259887,0.00907478018210905,0.00698625369758135
IST1,0.0681562223473574,0.107059911622649,0.0455220496542342,0.200294659300184,0.162541073384447,0.128652312599681,0.181728839366046,0.170202249744347,0.229898804047838,0.0689486937362292,0.0317570621468927,0.0655478306891035,0.0791978423525318
ISY1,0.0387941436730754,0.0607131846675573,0.0289139553338624,0.133259668508287,0.0858707557502738,0.0921291866028708,0.173285348467022,0.174179070560164,0.179169404652385,0.0384167453572553,0.0235084745762712,0.0322894740007458,0.0393509657212459
ITCH,0.0649384603008608,0.0971945329359778,0.0440482938442354,0.215395948434622,0.168017524644031,0.136467304625199,0.25059173645235,0.189290989660266,0.283388093047707,0.053525338369531,0.0317570621468927,0.140183672732959,0.0744997389942579
ITGA1,0.026164427640576,0.0166272736614942,0.186549144087972,0.0452302025782689,0.0179627601314348,0.0683652312599681,0.0224790642951069,0.0206737870696512,0.0239584702326193,0.0148095687755744,0.00938418079096045,0.00907478018210905,0.0139464068209501
ITGA2,0.00822540423135708,0,0.00164947284888335,0,0,0,0,0,0,0,0,0.0426939870334508,0
ITGA2B,0,0.00234302743808447,0,0,0.00262869660460022,0.0037719298245614,0.00164717281472766,0.00556186796954892,0.00674201603364438,0,0.000796610169491525,0.00105187822509833,0.00472420393248651
ITGA3,0.0407248009009734,0.0318363991367794,0.0275535653554019,0.115211786372007,0.115443592552026,0.110470494417863,0.14193369783376,0.109754573343938,0.127520042055461,0.00725527226943658,0.00622033898305085,0.00758326617510855,0.023516617365582
ITGA4,0.0270493122033626,0.0319391634980989,0.0296508332388618,0.0496500920810313,0.0234392113910186,0.0272169059011164,0.0861512907467645,0.044421088512669,0.0558943356551452,0.0116619452313503,0.0193276836158192,0.0158828199237403,0.0494431877501305
ITGA5,0.00259432064998793,0.00501490083239133,0.0301042965650153,0.00287292817679558,0.00920043811610077,0,0.00240847117447574,0.00442563345074423,0.00201077671178868,0.037472458293988,0.0244124293785311,0.00373419776994599,0.00281016182356012
ITGA6,0.197027592309549,0.184544240057548,0.268115859879832,0.0713812154696133,0.125301204819277,0.0586363636363636,0.0679493390546058,0.131797523008749,0.115560520436325,0.0456562795089707,0.037180790960452,0.0368121293768118,0.0377849312684879
ITGA7,0.243363365779101,0.315568800739903,0.0865037977553565,0.0386003683241252,0.0825848849945235,0.0449202551834131,0.0588829676794242,0.0288546756050449,0.0689052437902484,0.0148095687755744,0.0104011299435028,0.0107467192706015,0.0377849312684879
ITGA8,0.115215992277371,0.0677011612372829,0.0528908287042286,0.104530386740331,0.312595837897043,0.123708133971292,0.106913973285348,0.121344165435746,0.258549086607964,0.0299181617878502,0.0289322033898305,0.0434036590206527,0.248155559422307
ITGA9,0.0565722789799694,0.0865070393587504,0.0476760004534633,0.195874769797422,0.250164293537788,0.176658692185008,0.302567651740605,0.0700999886376548,0.306781443027993,0.137881649354737,0.0485932203389831,0.0185410827910557,0.135053071167566
ITGAL,0.00653607915694634,0.00830336039461515,0.0022729849223444,0.0179742173112339,0,0.0088755980861244,0.0165963042425081,0.0151062379275082,0.0256669733210672,0.0318067359143846,0.0343559322033898,0.00232688213430843,0.00298416565164434
ITGAM,0,0,0,0,0,0,0,0,0,0.105775889203651,0.0405706214689266,0,0
ITGAX,0,0,0.000459131617730417,0,0,0,0,0,0,0.196112684922883,0.147237288135593,0,0.000896119714633721
