"","Astrocytes Bergmann glia","Astrocytes cortex hippocampus","Astrocytes thalamus hypothalamus","Cajal-Retzius cells","CCK interneurons","Cholinergic neurons habenula","Choroid plexus epithelial cells","Committed oligodendrocytes","D1 medium spiny neurons","D2 medium spiny neurons","Dopaminergic neurons","Ependymal cells","Excitatory neurons amygdala","Excitatory neurons di/mesencephalon","Excitatory neurons hippocampal CA1","Excitatory neurons hippocampal CA2","Excitatory neurons hippocampal CA3","Excitatory neurons layer 1 piriform","Excitatory neurons layer 2/3","Excitatory neurons layer 4","Excitatory neurons layer 5","Excitatory neurons layer 5/6","Excitatory neurons layer 6","Excitatory neurons telencephalon","Granule neurons","Hindbrain excitatory neurons","Hindbrain inhibitory neurons","Hypendymal","Inhibitory interneurons","Inhibitory neurons amygdala","Inhibitory neurons habenula hypothalamus","Inhibitory neurons habenula thalamus","Inhibitory neurons reticular nucleus","Interneuron selective interneurons","Interneurons","Mature oligodendrocytes","Microglia","Myelin forming oligodendrocytes","Neuroblasts","Neurogliaform cells","Newly-formed oligodendrocytes","Olfactory bulb inhibitory neurons","Olfactory ensheathing cells","Oligodendrocyte precursor cells","Peptidergic neurons","Pericytes","Perivascular macrophages","Purkinje cells","Radial glia","Serotonergic neurons","T cell","Tanycytes","Telencephalon inhibitory neurons","Vascular endothelial cells","Vascular leptomeningeal cells","Vascular smooth muscle cells"
"Kcnd2",0.0226566992524439,0.281154925417221,1.13268656716418,0,0.843835616438356,6.74495548961424,0.0748207885304659,0.529521739130435,3.86407766990291,3.12006335797254,0.0349397590361446,0.193950177935943,1.41638176638177,3.30852141870106,6.37551695616212,6.50204429301533,2.74934268185802,1.54344827586207,2.23124825467746,2.13460533193936,2.03961538461538,1.82503108164111,1.82296662546354,0.919146514935989,3.60423537019075,0.176078167115903,0.143500281373101,0.0496279336004579,1.72293729372937,1.721875,1.61572528883184,3.10077359463641,2.5435860058309,1.06499215070644,0.0187190240182997,0.199695528068506,0.222176470588235,0.136612765957447,0.328995057660626,1.28324514991182,0.357453416149068,0.145904887714663,0.0154696132596685,1.74421768707483,1.052,0.164431780087161,0.337966101694915,0.0567510548523207,0.0183720930232558,1.10865384615385,0.0394495412844037,0.334545454545455,1.59935275080906,0.0967338217338217,0.13816067653277,0.124340175953079
"Kcnj3",0.0117308798159862,0.198153891596515,0.165223880597015,0.00531914893617021,2.64520547945205,0.270178041543027,0.000448028673835116,0.39995652173913,0.642718446601942,0.29324181626188,0,0.0658362989323843,1.48475783475783,4.22584062643943,3.66253101736973,5.46626916524702,2.45135845749343,2.81742946708464,3.03716838871824,2.95478306325144,2.93705128205128,2.2402818068794,2.38069221260816,1.22782361308677,3.45098609763983,0.0564690026954178,0.0350778465578691,0,1.13300330033003,0.860546875,0.698523748395379,1.64486848891181,4.06253644314869,1.32401883830455,0.00842546702249333,0.103215984776403,0.171588235294118,0.0826553191489361,0.131301482701812,1.35731922398589,0.286024844720497,0.0382430647291942,0,0.342857142857143,0.132,0.114482065035199,0.161694915254237,0.0166666666666667,0,0.550961538461539,0.0211009174311927,0.340606060606061,3.6163430420712,0.0741452991452991,0.0990486257928118,0.0737536656891496
"Kcnq3",0,0.283370255501403,0.325820895522388,0,1.13835616438356,0.093620178041543,0.00940860215053763,0.479521739130435,1.28252427184466,1.12956705385428,0.0373493975903614,0.108540925266904,0.964814814814815,3.01326577614003,3.35235732009926,0.617887563884157,1.64943032427695,1.71711598746082,1.25219212510472,1.43125980135912,1.18491452991453,1.44334852880232,1.05386897404203,0.80022759601707,1.21787908179761,0.00997304582210243,0.00412680547739636,0,1.11732673267327,0.54267578125,0.556996148908858,1.32099020113461,1.09169096209913,0.57519623233909,0.00461303850552802,0.280951474785918,0.171588235294118,0.330314893617021,0.179077429983526,0.51957671957672,0.422670807453416,0,0,0.442176870748299,0.252,0.117163928930607,0.165084745762712,0,0,0.3875,0.0853211009174312,0.134545454545455,1.3631067961165,0.0662087912087912,0.0853065539112051,0.0840175953079179
"Kcnq5",0,0.0802983311180032,0.0873134328358209,0.00531914893617021,2.22397260273973,0.154451038575668,0.000448028673835116,0.142565217391304,1.16116504854369,0.773706441393875,0,0.0943060498220641,0.565242165242165,0.203730999539383,1.10008271298594,2.78654173764906,2.47502191060473,0.993605015673981,1.8944708182072,1.09095661265029,1.29004273504274,1.48106092001658,0.595772558714462,0.586856330014225,0.0426446815389589,0.0045822102425876,0.000750328268617519,0,0.156930693069307,0.36005859375,0.28806161745828,0.415368746776689,0,0.765149136577708,0,0.0788582302568982,0.121,0.073463829787234,0.142833607907743,0.916402116402117,0.230124223602484,0,0,0.206802721088435,0.172,0.0605095541401274,0.0905084745762712,0,0,0.175961538461538,0.0577981651376147,0.164848484848485,0.420550161812298,0.0607142857142857,0.0673361522198732,0.0282991202346041
"Kdm4a",0.0140310523289247,0.178215920838872,0.237164179104478,0.00531914893617021,0.511643835616438,0.529821958456973,0.224462365591398,0.481695652173913,0.549514563106796,0.393558606124604,0.0542168674698795,0.483392645314353,0.423504273504273,0.423906034085675,0.583126550868486,0.643441226575809,0.468886941279579,0.808652037617555,0.472800893605138,0.340041819132253,0.490897435897436,0.473186904268545,0.455599505562423,0.29126600284495,0.650145489815713,0.0456873315363881,0.056274620146314,0.00784201488265598,0.394554455445545,0.34443359375,0.408408215661104,0.377720474471377,0.416763848396501,0.408791208791209,0.0293938238658025,0.435280685061846,0.271,0.648442553191489,0.490444810543657,0.33968253968254,0.605900621118012,0.052113606340819,0.0113259668508287,0.396598639455782,0.132,0.117499161917533,0.310847457627119,0.0244022503516174,0.0197674418604651,0.570192307692308,0.122018348623853,0.383030303030303,0.469902912621359,0.152289377289377,0.260782241014799,0.171994134897361
"Kdr",0.000230017251293846,0.0816275291685128,0.103432835820896,0,0.107534246575342,0.110682492581602,0.4834229390681,0.119086956521739,0.137864077669903,0.0831045406546991,0.0108433734939759,0.155990510083037,0.0616809116809117,0.0920313219714417,0.0794044665012407,0.0778534923339012,0.0692375109553024,0.111473354231975,0.0357721306897515,0.0661265028750653,0.0387606837606838,0.0732697886448404,0.0731520395550062,0.0471692745376956,0.105043646944714,0.00256064690026954,0.00206340273869818,0.009559244419004,0.0422442244224422,0.12861328125,0.0926187419768935,0.0899432697266632,0.144169096209913,0.102668759811617,0.00461303850552802,0.130047573739296,0.151,0.108697872340426,0.118121911037891,0.145679012345679,0.0468944099378882,0.00125495376486129,0.0113259668508287,0.124489795918367,0.012,0.45977204156889,0.375254237288136,0.00330520393811533,0.000232558139534883,0.108653846153846,0.0119266055045872,0.189090909090909,0.118770226537217,1.1760989010989,0.295665961945032,0.495307917888563
"Kidins220",0.114088556641748,1.68272042534338,1.88791044776119,0,4.12465753424658,3.89406528189911,1.88485663082437,1.12647826086957,2.46699029126214,2.1285110876452,0.333734939759036,1.09430604982206,2.14145299145299,2.86287425149701,4.03722084367246,4.39471890971039,4.68185801928133,3.65818181818182,2.49234850600391,2.08572922111866,3.09474358974359,3.00654786572731,3.1359456118665,1.56039829302987,2.96989977368251,0.287601078167116,0.414368786344026,0.0484831139095592,2.85825082508251,1.7638671875,2.61347881899872,3.17503867973182,3.68935860058309,2.57990580847724,0.179222264582539,0.759923882017127,0.747470588235294,0.995846808510638,1.57775947281713,3.46137566137566,1.8388198757764,0.134015852047556,0.0679558011049724,1.57619047619048,1.092,0.498659068052296,0.795593220338983,0.0961322081575246,0.0672093023255814,3.50288461538462,0.204587155963303,2.45575757575758,4.12200647249191,0.449297924297924,0.824207188160677,0.748973607038123
"Kif5c",0.0876365727429557,1.34466105449712,1.23029850746269,0.0904255319148936,8.93972602739726,2.68857566765579,0.262096774193548,2.38039130434783,4.51747572815534,4.26684266103485,0.396385542168675,0.389679715302491,7.7539886039886,9.9305849838784,8.62531017369727,15.4645655877342,13.9219982471516,10.4581818181818,7.51943591175649,6.42629377940408,9.40799145299145,8.13418980522172,7.67339925834363,5.69923186344239,5.24730035564177,0.353638814016172,0.286250234477584,0.0507727532913566,8.0496699669967,3.2970703125,4.96392811296534,5.88416709644146,14.082944606414,5.38367346938776,0.328288219595883,1.59189343482398,1.30158823529412,1.19635744680851,2.07199341021417,9.21093474426808,1.38229813664596,0.00455746367239102,0.0209944751381215,1.75714285714286,2.012,0.956252095206168,1.13457627118644,0.290225035161744,0.0397674418604651,6.0125,0.342201834862385,0.643636363636364,12.6058252427184,0.631227106227106,0.321035940803383,0.336950146627566
"Kirrel3",0,0.234928370993945,0.280746268656716,0,0.528767123287671,0.26053412462908,0.0568996415770609,0.223869565217391,0.745631067961165,0.771594508975713,0,0.274614472123369,0.197720797720798,0.428051589129433,0.105045492142266,0.079557069846678,0.113058720420684,0.673855799373041,0.356352974029601,0.152639832723471,0.42465811965812,0.32067965188562,0.178467243510507,0.237496443812233,0.757807953443259,0,0,0,0.472937293729373,0.35029296875,0.364762516046213,0.690768437338834,0.635422740524781,0.330298273155416,0.0347312237895539,0.151550903901047,0.132176470588235,0.206570212765957,0.24168039538715,0.293827160493827,0.630745341614907,0,0,0.212244897959184,0.212,0.0578276902447201,0.154915254237288,0,0,0.656730769230769,0.0669724770642202,0.176969696969697,0.435922330097087,0.0723137973137973,0.0821353065539112,0.0700879765395895
"Ksr2",0.010580793559517,0.108949933540097,0.173880597014925,0,0.55958904109589,0.648516320474777,0.132168458781362,0.20604347826087,0.685436893203883,0.611087645195354,0.063855421686747,0.131079478054567,0.536039886039886,0.482634730538922,0.733664185277088,0.699659284497445,0.77125328659071,1.0951724137931,0.798129014241832,0.551228437009932,0.783632478632479,0.67832573559884,0.700593325092707,0.380028449502134,0.730003233107016,0.0894878706199461,0.141436878634403,0.011276473955352,0.55049504950495,0.5392578125,0.700770218228498,0.458690046415678,0.598979591836735,0.581475667189953,0.0400686237133054,0.131569933396765,0.177470588235294,0.137634042553191,0.249917627677101,0.653615520282187,0.102795031055901,0.0560766182298547,0,0.220408163265306,0.532,0.107777405296681,0.198983050847458,0.135513361462729,0.00348837209302326,0.550961538461539,0.0211009174311927,0.413333333333333,0.681067961165049,0.106501831501831,0.0884778012684989,0.0678885630498534
"Lag3",0,0.124161866784818,0.158955223880597,0.0159574468085106,0.0116438356164383,0.160385756676558,0.355286738351254,0.134739130434783,0.141747572815534,0.186589229144667,0.00602409638554217,0.16429418742586,0.0730769230769231,0.0802855826807923,0.0959470636889992,0.0369676320272572,0.0035056967572305,0.117115987460815,0.0628595364423345,0.0961840041819132,0.0584188034188034,0.0894322420223788,0.110234857849197,0.0687908961593172,0.113773035887488,0.00694070080862534,0.0142562371037329,0.0147109330280481,0.0513201320132013,0.12470703125,0.14589216944801,0.101289324394018,0.100437317784257,0.110518053375196,0.00728173846740374,0.173815413891532,0.506294117647059,0.145123404255319,0.212026359143328,0.0345679012345679,0.102795031055901,0.00323645970937913,0.00994475138121547,0.140816326530612,0.092,0.114817298022125,0.568474576271186,0,0.00209302325581395,0.0317307692307692,0.580733944954128,0.44969696969697,0.0758899676375405,0.145879120879121,0.168816067653277,0.188123167155425
