,B cell,Conventional dendritic cell,Endothelial A,Endothelial B,Epithelial,Fibroblast,Lung cell,Macrophage,Malignancy,Monocyte,Myeloid,Neutrophil,NK cell,Plasma,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory
ABHD3,0.0293190172180306,0.0353046594982079,0.0261096605744125,0.0164029014177382,0.0220160848108207,0.018109760700536,0.0254018677281078,0.0207818930041152,0.0589388420245399,0.00655172413793103,0.043612959099319,0.0177950310559006,0.0315387287252518,0.0232479488945951,0.0217421602787456,0.0220125786163522,0.0376368396001904,0.0455301230835673,0.0227764423076923
ABHD5,0.0204198104082027,0.0218637992831541,0.02088772845953,0.0257171117705242,0.01634984463535,0.0249792405827735,0.041246938150643,0.0340420667581161,0.0987202837423313,0.013448275862069,0.0777427862850844,0.0842546583850932,0.0115665161514415,0.0159829648650341,0.0043205574912892,0,0.0155045216563541,0.0191859209673937,0.0191706730769231
ABHD6,0.0281582511124009,0.0424731182795699,0.0731070496083551,0.0616551269370261,0.017994882105648,0.0244508190533706,0.0204263625229639,0.0427297668038409,0.0355492714723926,0.0272413793103448,0.056170531039641,0.018416149068323,0.0261549149010073,0.0152940439656792,0.0105923344947735,0.0251572327044025,0.0193122322703475,0.0256640034549773,0.0221754807692308
ABI1,0.15545560069646,0.146415770609319,0.107049608355091,0.0933069568084405,0.0773990129775178,0.0864271155733374,0.0934514696876914,0.140580704160951,0.150675805214724,0.0272413793103448,0.227370782978388,0.0451242236024845,0.123931920805835,0.0813678211310829,0.0844599303135888,0.117924528301887,0.141158971918134,0.158680630533362,0.154987980769231
ABI2,0.0242890307603018,0.0254480286738351,0.0704960835509138,0.0590999010880317,0.0499817218058856,0.0541179134898468,0.0409407532149418,0.0358710562414266,0.117029332822086,0,0.0208203755461953,0.00972049689440994,0.0271969433831191,0.0254399699379971,0.0217421602787456,0.0408805031446541,0.0354950023798191,0.0308464694450443,0.0323918269230769
ABI3BP,0.0368639969046237,0.0424731182795699,0.0678851174934726,0.0549785690735246,0.221613964540303,0.162293349437609,0.0289995407225964,0.112688614540466,0.0396712039877301,0.0272413793103448,0.0268432862260363,0.0190372670807453,0.0572420979506773,0.0595102398697313,0.01198606271777,0.0267295597484277,0.0404926225606854,0.0330058302742388,0.0510216346153846
ABL1,0.0258367189011414,0.0603942652329749,0.0626631853785901,0.0362677217276624,0.0546426613050631,0.0806144787499056,0.0319848438456828,0.0587334247828075,0.0594181365030675,0,0.0258985159233161,0.00226708074534161,0.03049670024314,0.0283209118807541,0.0126829268292683,0.0188679245283019,0.0257377439314612,0.0280393003670913,0.0287860576923077
ABL2,0.015389823950474,0.0155913978494624,0.031331592689295,0.0199472469502143,0.0110491683421678,0.0156186306333509,0.00817896509491733,0.02946959304984,0.0471481978527607,0,0.0264496319332362,0.00350931677018634,0.00653004515456756,0.017360806663744,0.0273170731707317,0.0172955974842767,0.0174083769633508,0.0109803498164543,0.0107572115384615
ABLIM1,0.0405397562391178,0.0155913978494624,0.177545691906005,0.136663369601055,0.0509870224821788,0.0347172944817695,0.102101194121249,0.0111796982167353,0.172627492331288,0.013448275862069,0.0136558674172342,0.00785714285714286,0.0733935394234109,0.0161082232103714,0.0161672473867596,0.00628930817610063,0.0726201808662542,0.0593500323904124,0.0456129807692308
ABR,0.0362836138518089,0.0612903225806452,0.0548302872062663,0.079047148038246,0.0597605556571011,0.0427191062127274,0.0462224433557869,0.0756515775034294,0.0966113880368098,0.0479310344827586,0.103763335039169,0.00288819875776397,0.0471691559569295,0.0145424938936557,0.00571428571428571,0.0220125786163522,0.0371608757734412,0.0500647808248758,0.0384014423076923
