,B cell,Conventional dendritic cell,Endothelial,Fibroblast,Macrophage,Malignancy,Monocyte,Neutrophil,NK cell,Pericyte,Plasma,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory
RAB8A,0.133456090651558,0.142292993630573,0.148216793035664,0.0975018178040927,0.183961410913476,0.162038859269331,0.161456923770862,0.08317698561601,0.111452473676619,0.0965565438373571,0.129026115342764,0.121301976823449,0.111027790030878,0.0971776190139351,0.0926470588235294,0.104501097828739
RABEP1,0.155269121813031,0.116815286624204,0.194271272114575,0.126482808767009,0.19260375841624,0.486939564175046,0.126274244474515,0.161976235146967,0.13078032597721,0.129593392630241,0.158949945593036,0.159134287661895,0.152051168945743,0.112173728513829,0.116850490196078,0.114503537448158
RAC1,0.398611898016997,0.518513800424628,0.975793316484134,0.438937363664693,0.899065420560748,0.780745697212581,0.63191249436175,0.252657911194497,0.343963652098659,0.544078780177891,0.345021762785637,0.218438991138378,0.443184825760918,0.242328641154418,0.225459558823529,0.259660892900707
RAC2,0.447053824362606,0.188152866242038,0.137545633249087,0.27637374052145,0.229584966335042,0.176959959924142,0.262494361750113,0.143839899937461,0.433246790711092,0.0823252858958069,0.450027203482046,0.369768234492161,0.348345831495368,0.454254792388767,0.510998774509804,0.431654061966333
RAC3,0.0782152974504249,0.0777494692144374,0.0735186745296265,0.0784927807208892,0.0878906642548487,0.439170572870075,0.0735002255299955,0.0881801125703565,0.108567719601904,0.0475095298602287,0.0838683351468988,0.0797205180640763,0.0633877370974857,0.0971776190139351,0.099234068627451,0.105720907538424
RACK1,0.649320113314448,0.699405520169851,1.21842179163156,0.691664069803677,0.891026027534921,3.48164382581315,0.660780333784393,0.617886178861789,0.707875378623972,0.705196950444727,0.742192600652884,0.547000681663258,0.581252756947508,0.72319445426894,0.596936274509804,0.584862161502806
RAD1,0.05328611898017,0.0599150743099788,0.0726762145464757,0.0684169523215955,0.0692995678826249,0.395409167352489,0.0671853856562923,0.0869293308317699,0.06111351507284,0.0531003811944092,0.0593852013057671,0.055521472392638,0.0448610498456109,0.0555846360613992,0.0583333333333333,0.0666869968284948
RAD21,0.197195467422096,0.194522292993631,0.305195169896097,0.199402721512413,0.234308109737715,0.484506387089849,0.182205683355886,0.170731707317073,0.238093177556613,0.201257941550191,0.140451577801959,0.105282890252215,0.167931186590207,0.219127113248921,0.203094362745098,0.230141497926323
RAD23A,0.260368271954674,0.255668789808917,0.443920247121595,0.283021709774592,0.348366998291629,0.784359680824418,0.271515561569689,0.246404002501563,0.251074570892831,0.288932655654384,0.253073993471164,0.260361281526926,0.229686810763123,0.217641649572045,0.215042892156863,0.234044888997316
RAD23B,0.244220963172805,0.257791932059448,0.465824206683516,0.30628960216059,0.336307908752889,0.774877446595341,0.243549842129003,0.205128205128205,0.227708062887639,0.281817026683609,0.259058759521219,0.245023858214042,0.220423467137186,0.184607766852939,0.190686274509804,0.186960234203464
RAD50,0.0770821529745042,0.0692569002123142,0.0850322942993541,0.0934507115404591,0.0928147924831675,0.225015207356782,0.0739512855209743,0.0706691682301438,0.0779893264099236,0.0724142312579416,0.0816920565832427,0.0698364008179959,0.0572121746801941,0.0681757091320648,0.0715073529411765,0.0708343498414247
RAD51,0.0484702549575071,0.0573673036093418,0.0872788542544229,0.0550171392957308,0.0637724851773691,0.131981965863957,0.0653811456923771,0.0412757973733583,0.0642867445550267,0.0569123252858958,0.0495919477693145,0.0527948193592365,0.0422143802382003,0.0440546084742166,0.0499080882352941,0.0632715296413759
RAD51C,0.0294900849858357,0.011932059447983,0.0190395956192081,0.0144022021398151,0.0108129836197367,0.0434572583819372,0.0108028867839423,0.0131332082551595,0.0200057695081494,0.00837357052096569,0.0599292709466812,0.0858554873892297,0.0100132333480371,0.0232581169979486,0.0215686274509804,0.0247255428153208
RAD52,0.0564022662889518,0.0590658174097664,0.0942993541140129,0.0739223018593539,0.0714099085519043,0.313289440727091,0.0667343256653135,0.0744215134459037,0.0569306216645031,0.0589453621346887,0.0517682263329706,0.0439331970006817,0.0461843846493163,0.0574237815661031,0.0595588235294118,0.0686386923639912
RAD9A,0.0702832861189802,0.0607643312101911,0.0996349340073013,0.0555365118936325,0.0642749472414833,0.158210183561742,0.0649300857013983,0.0819262038774234,0.0596711380354825,0.0436975857687421,0.0762513601741023,0.06813224267212,0.0514777238641376,0.0650633090471812,0.0632352941176471,0.0722981214930471
RAE1,0.0538526912181303,0.041656050955414,0.0709912945801741,0.051485405629999,0.0559340769771882,0.241975882921244,0.0495940460081191,0.0825515947467167,0.043949228328285,0.0426810673443456,0.0708106637649619,0.0759713701431493,0.0316277018085576,0.0485109995048454,0.0499080882352941,0.0488777750670895
RAET1G,0.0470538243626062,0.0471762208067941,0.0611625947767481,0.0475381738859458,0.0395538136870666,0.0939456828997746,0.0320027063599459,0.0706691682301438,0.0502956872926583,0.0332782719186785,0.0327257889009793,0.0395023858214042,0.0448610498456109,0.0516941359552946,0.0480698529411765,0.0559526713832642
RAF1,0.0906798866855524,0.0887898089171975,0.159449592811008,0.0913732211488522,0.123967440458245,0.25732636776756,0.105976544880469,0.0806754221388368,0.0963075147843646,0.116124523506989,0.0903971708378672,0.0977845944103613,0.0801499779444199,0.0975313008417628,0.0981617647058824,0.0932788484996341
RAG1,0.030056657223796,0.0225477707006369,0.0139848357203033,0.0189726810013504,0.0168425283891066,0.00975059934876731,0.0238836265223275,0.0181363352095059,0.0176979662483773,0.0167598475222363,0.0185799782372144,0.0238241308793456,0.0228054697838553,0.0180943623116644,0.0159007352941176,0.0152110270797756
RALA,0.0728328611898017,0.106624203821656,0.23133951137321,0.134896644853018,0.155924027735906,0.347246573871972,0.13213802435724,0.122576610381488,0.10496177700851,0.125527318932656,0.0751632208922742,0.0633605998636673,0.0836788707543008,0.0700855910023343,0.085906862745098,0.0908392290802635
RALGDS,0.127223796033994,0.137622080679406,0.278236450435271,0.150373948270489,0.329474424680937,0.270351021576556,0.190324763193505,0.105691056910569,0.153714120871196,0.0846124523506989,0.087132752992383,0.0868779822767553,0.133524481693869,0.119742519629341,0.134160539215686,0.16158819224201
RAMP1,0.023257790368272,0.044203821656051,0.0409435551811289,0.0819206398670406,0.03754396543061,0.0589508712920886,0.0229815065403699,0.0475297060662914,0.0383239578825905,0.0464930114358323,0.0169477693144723,0.0241649625085208,0.0241288045875606,0.0295536535332815,0.0264705882352941,0.0420468406928519
