,Ascending vasa recta endothelium,B cell,Connecting tubule,Dendritic cell,Descending vasa recta endothelium,Distinct proximal tubule A,Distinct proximal tubule B,Epithelial progenitor,Fibroblast,Glomerular endothelium,Macrophage,Mast cell,Mesangial cell,MNP-a/classical monocyte derived,MNP-b/non-classical monocyte derived,Myofibroblast,Neutrophil,NK cell,NKT cell,Pelvic epithelium,Peritubular capillary endothelium A,Peritubular capillary endothelium B,Plasmacytoid dendritic cell,Podocyte,Principal cell,Proliferating proximal tubule,Proximal tubule,Smooth muscle,T cell CD4,T cell CD8,Thick ascending limb of Loop of Henle,Transitional urothelium,Type A intercalated cell,Type B intercalated cell
RGS2,0.120574646260468,0.0600363904857339,0.171013838748496,0.101880694649949,0.0909822184589331,0.13590978205778,0.0944444444444444,0.107939903234021,0.131613475177305,0.133609108781127,0.0854510105715096,0.553125,0.268854483282675,0.219147950914564,0.258548966200322,0.0931016293517759,0.318949232585596,0.116258064516129,0.0729072762395364,0.36,0.0793726765799257,0.180517624642744,0.172826086956522,0.0972562469377756,0.719457659372027,0,0.0305147113153734,0.100453703703704,0.0728272798536713,0.0684258298755187,0.0466068193048921,0.475,0.0903670854890367,0.0974899230487358
RGS5,0.183525844643373,0.0221691893887453,0.0311221419975933,0.0524297173117358,0.566850127011008,0.0421439432336543,0.0123188405797101,0.0269111280875987,0.0642375886524823,0.125417758846658,0.0411802827169995,0.0140625,1.08325417933131,0.0390136605695763,0.0593413396062895,0.20973508381198,0.00726092089728453,0.0592258064516129,0.0365260785576304,0,0.258183085501859,0.929961892664338,0.0597826086956522,0.0193532582067614,0.0188550586742785,0,0.0361450590373731,2.36452777777778,0.0329527044682519,0.028228734439834,0.0321116784714215,0.225,0.0181818181818182,0.0260351777207768
RNF43,0.00102512272596015,0.00887875112072148,0.0536853188929001,0.00811852659450199,0.00292125317527519,0.0287970941037337,0.0268115942028985,0.0397453526865292,0.00803191489361702,0,0.00529385556320629,0,0,0.0128501968048159,0.0132846353844249,0.00436642832024382,0.0226092089728453,0.0158709677419355,0.005296200901481,0.36,0.00381505576208178,0,0.00833333333333333,0,0.0437519822391373,0,0.00664853921293355,0,0.0119963417820747,0.0144839211618257,0.0256876956020425,0,0.0346883468834688,0.0187064858922682
ROR1,0.00781114640485129,0.00819313327356152,0.0190884476534296,0.00500350439996885,0.00630821337849281,0.0621642169285352,0.0123188405797101,0.0156047873694933,0.057677304964539,0.00434960681520315,0.00432176272834056,0,0.031012537993921,0.0128501968048159,0.00511328463538443,0.0485581995076779,0.00371900826446281,0.00916129032258065,0.00594011590470058,0,0.00214219330855018,0.00173070816132105,0.00615942028985507,0.0156785889269966,0.0323342848081192,0.6,0.0128552217411222,0.0730462962962963,0.00912202769793572,0.00618516597510373,0.0141574699390545,0,0.0147326927814733,0.0406925613777941
RORA,0.128226970834537,0.0452692368545963,0.109942839951865,0.0518845884276925,0.0630397967823878,0.220130089542152,0.171739130434783,0.119959256429845,0.134095744680851,0.0616890563564875,0.0447851269796266,0.06875,0.0783149696048632,0.0843945357721695,0.0756840411043704,0.0865373344273825,0.03913813459268,0.157548387096774,0.170460399227302,0,0.0619934944237918,0.104620514449031,0.106159420289855,0.0744732974032337,0.110513796384396,0,0.0533907697764117,0.0286018518518519,0.128693493598119,0.0928034232365145,0.044630209191237,0.225,0.122887410692289,0.155020153902528
RPL21,1.55834536529021,1.58812035230209,2.36806558363418,1.13092827661397,0.958044030482642,2.94406994424734,1.48333333333333,1.97419913419913,1.56370567375887,0.870830602883355,1.15252541617724,0.8734375,1.4164608662614,1.47105811530447,2.0607032313978,1.0239420935412,0.539728453364817,1.54387096774194,1.69170959433355,1.36,0.91310873605948,1.57365830422356,2.31847826086957,0.909113179813817,2.7511734855693,0.8,0.426412389720552,0.67712037037037,1.46472694016201,1.25592582987552,0.974460550156482,2.225,2.15072677999507,1.64934041773543
RPL22,0.624184233323708,0.515550340171932,1.2299789410349,0.414551047426213,0.42121083827265,1.3469251562764,0.81183574879227,1.10315253374077,0.580904255319149,0.37214121887287,0.422200170116246,0.4046875,0.537471504559271,0.555105348460292,0.77322025504519,0.369388113937405,0.225678866587957,0.509548387096774,0.574517063747585,0.16,0.374261152416357,0.64892029215624,0.78804347826087,0.359872611464968,1.43417380272756,0.4,0.203607264774121,0.271935185185185,0.520697674418605,0.413342842323651,0.570737934442431,0.725,1.00832717418083,0.819732502748259
RPL32,0.4182933872365,0.439499498971573,0.507656438026474,0.276867066427848,0.272184589331075,0.74597905051529,0.381884057971014,0.431240132416603,0.379663120567376,0.191603866317169,0.305387014459881,0.225,0.332494300911854,0.378212549201204,0.522632165407949,0.24548704723948,0.132408500590319,0.379741935483871,0.43060206052801,0.16,0.224447026022305,0.371689425214354,0.571376811594203,0.206516413522783,0.572296225816682,0.2,0.102571339904535,0.158046296296296,0.406822576430624,0.332170643153527,0.200617690660517,0.475,0.445134269524513,0.337138145840967
RPL34,0.771166618538839,0.899074415906334,1.05248194945848,0.566642006074293,0.483869602032176,1.54923973644197,0.819082125603865,0.966254138018844,0.78072695035461,0.381315530799476,0.600174166632913,0.6546875,0.697615881458967,0.777379022921973,1.02479881143989,0.475940686906576,0.232762691853601,0.714193548387097,0.862990985189955,0.96,0.450655204460967,0.713702762781836,1.15905797101449,0.410583047525723,1.29890580399619,0.2,0.196454802051161,0.328231481481482,0.786284295793049,0.61769968879668,0.470589688683907,0.725,0.982705099778271,0.780157566874313
RPL37,0.684825295986139,0.704411687147302,0.685153429602888,0.546316486254965,0.383107535986452,1.23068930562595,0.819082125603865,0.698314234784823,0.636578014184397,0.333314220183486,0.555700919437806,0.5921875,0.551719224924012,0.691247974068071,0.950761421319797,0.398927441097175,0.21741440377804,0.676516129032258,0.83948808757244,0.56,0.375190520446097,0.553334391870435,0.953985507246377,0.312836844683978,0.873437995559784,0.4,0.201316703364909,0.235824074074074,0.722526783381239,0.601102178423237,0.358417064733981,0.225,0.687558511948756,0.578252106998901
RPS4Y1,0.0750938492636442,0.0239623437582406,0.22576714801444,0.050327077330426,0.0596528365791702,0.30544855549924,0.0630434782608696,0.151688311688312,0.0885283687943262,0.0572657273918742,0.0314593543683422,0.0296875,0.0792648176291793,0.0702708960407502,0.0886839172960257,0.0689544015941859,0.0155253837072019,0.0721290322580645,0.0513361236316806,0.16,0.0660827137546468,0.0954112416640203,0.0807971014492753,0.054140127388535,0.209942911512845,0.2,0.0359677252508534,0.0254537037037037,0.0651972824666841,0.0354901452282158,0.0528660846647999,0,0.166986942596699,0.191663613045071
RSPO1,0,0.00307736933706028,0.0049488567990373,0.00399112218674558,0.0105419136325148,0,0,0.000122230710465999,0.00643617021276596,0,0.00262060026732553,0.00625,0.00555661094224924,0.00196804815929613,0.00523709298006686,0.00741413667799789,0.0131641086186541,0.00761290322580645,0,0,0,0,0.00543478260869565,0.00587947084762371,0.00648588645734221,0,0.000944302413217281,0.00841666666666667,0.00457538541938855,0.00566649377593361,0,0,0.00389258438038925,0.0110113594723342
RUNX3,0.0877995957262489,0.109189916143663,0.0308212996389892,0.0955727747060198,0.0342506350550381,0.0625865855718871,0.0606280193236715,0.0482505729564553,0.0750531914893617,0.0302342726081258,0.0969541091174207,0.053125,0.0847739361702128,0.104075017365131,0.174235483471586,0.028982534286719,0.0497638724911452,0.363741935483871,0.333692852543464,0.76,0.0335548327137546,0.0509526833915529,0.193115942028986,0.0367466927976482,0.0450206152870282,0,0.0251503642731531,0.0302685185185185,0.141601776848707,0.187201763485477,0.0136633174106408,0.475,0.0349347129834935,0.0289666544521803
RXRA,0.139633265954375,0.0288671483571542,0.150255716004813,0.0579588817070322,0.105376799322608,0.1666582192938,0.104106280193237,0.109213139801375,0.135514184397163,0.115260484927916,0.0593260156344931,0.06875,0.0874335106382979,0.115651771243343,0.187482976352606,0.100720900246161,0.0603896103896104,0.0556129032258065,0.0419993560849968,0,0.129651486988848,0.149714194982534,0.0894927536231884,0.067858892699657,0.140168093878846,0,0.0355096129690109,0.0806388888888889,0.0359837993206167,0.0313407676348548,0.0494070169659035,0.225,0.137423010593742,0.115445218028582
