,B cell,Conventional dendritic cell,Endothelial,Fibroblast,Keratinocyte,Macrophage,Malignancy A,Malignancy B,Mast cell,Monocyte,Neutrophil,NK cell,Plasma,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory
CNOT6L,0.0612903225806452,0.0475609756097561,0.1615625,0.108783316026307,0.0508888888888889,0.0834634119340197,0.13371608040201,0.15615465920128,0.0244094488188976,0.0241935483870968,0.0106694560669456,0.068241965973535,0.0473502304147465,0.0602362204724409,0.0157657657657658,0.119491525423729,0.166009463722397,0.116820276497696
CNP,0.0182795698924731,0.0231707317073171,0.0482102272727273,0.0316516672435675,0.0884957264957265,0.0226309088896269,0.0368819095477387,0.04800177112495,0.0125984251968504,0.0241935483870968,0.00146443514644351,0.00964083175803403,0.00126728110599078,0,0,0,0.0082807570977918,0.0223502304147465
CNPY3,0.0935483870967742,0.0963414634146341,0.125198863636364,0.0902071074189454,0.0413162393162393,0.148447359681169,0.128489949748744,0.191177226761127,0.0559055118110236,0.0241935483870968,0.0115062761506276,0.0361058601134216,0.0692396313364055,0.0366141732283465,0.0337837837837838,0.0177966101694915,0.069794952681388,0.0592165898617512
CNR1,0,0,0,0,0,0,0,0,0.0244094488188976,0,0.00648535564853556,0.000189035916824197,0,0,0,0.0347457627118644,0,0.00161290322580645
CNR2,0.0236559139784946,0,0,0,0,0,0,0,0,0.0241935483870968,0,0,0.00241935483870968,0,0,0.000847457627118645,0.000394321766561513,0
CNST,0,0,0.0945170454545455,0.0392667589708088,0.0843931623931624,0.0283322262814126,0.094821608040201,0.118332571559161,0.00866141732283464,0,0.0131799163179916,0.011531190926276,0.00933179723502304,0,0,0.000847457627118645,0.041403785488959,0.0430875576036866
CNTFR,0.00752688172043011,0.0475609756097561,0.000767045454545451,3.74985577477789e-05,0,0.00264862172035868,0.00929396984924623,0.0218062617836942,0,0,0.00313807531380753,0.00775047258979206,0.00817972350230415,0,0.0157657657657658,0.0177966101694915,0.00354889589905363,0.00622119815668203
CNTN1,0,0,0,0,0.0293504273504274,0,0.00693216080402009,0.00166685711020968,0,0.0241935483870968,0.00397489539748954,0,0.00126728110599078,0,0.00675675675675676,0,0.00354889589905363,0.00161290322580645
CNTN4,0,0,0.0021875,0.00851794161763009,0,0.000600575666998782,0,0,0.000787401574803148,0,0.00313807531380753,0.000189035916824197,0,0,0,0.0516949152542373,0.0082807570977918,0
CNTN5,0,0,0,0,0,0,0.00135427135678391,0,0.0047244094488189,0,0.000627615062761506,0,0.000115207373271888,0.00511811023622047,0,0.000847457627118645,0,0.00161290322580645
CNTRL,0.0021505376344086,0,0.00900568181818182,0.0115755163262951,0,0.0230183770618842,0.0221582914572864,0.0392318459692624,0.0362204724409449,0,0,0.0285444234404537,0.00472350230414746,0,0,0.000847457627118645,0.0287854889589905,0.0523041474654378
COBL,0,0,0.00900568181818182,3.74985577477789e-05,0.0276410256410256,0.00126480681943983,0.138690954773869,0.0804533508541393,0.0047244094488189,0,0.00230125523012552,0.00207939508506616,0,0.012992125984252,0.0608108108108108,0.000847457627118645,0.00512618296529968,0.00622119815668203
COBLL1,0.0505376344086022,0,0.0698011363636364,0.0589390792661821,0.0871282051282051,0.0363583527067419,0.493816582914573,0.705317659829743,0.0125984251968504,0.0564516129032258,0.00313807531380753,0.0153119092627599,0.0473502304147465,0.0208661417322835,0.0427927927927928,0,0.00354889589905363,0
COL11A1,0.0021505376344086,0,0.0084375,0.476846082842968,0,0.0407312077936455,0.0119572864321608,0.00595183682797235,0.00866141732283464,0,0.0140167364016736,0.0153119092627599,0.0830645161290323,0.0759842519685039,0.0157657657657658,0.000847457627118645,0.0272082018927445,0.0154377880184332
COL11A2,0.0129032258064516,0,0.0021875,0.00165282104534441,0,0.0028700321045057,0,0,0,0,0,0.00586011342155009,0.00357142857142857,0,0,0.0516949152542373,0.00670347003154574,0.0131336405529954
COL12A1,0.0236559139784946,0,0.116676136363636,1.41834833275643,0.0231965811965812,0.125531384921953,0.0230628140703518,0.0314046163514826,0.0716535433070866,0.0241935483870968,0.0207112970711297,0.013421550094518,0.195967741935484,0.335826771653543,0,0.000847457627118645,0.069794952681388,0.0592165898617512
COL14A1,0.0021505376344086,0,0.0175284090909091,0.0724962501442252,0,0.00115410162736632,0,0,0.000787401574803148,0,0,0.00775047258979206,0.0127880184331797,0,0.0157657657657658,0,0.000394321766561513,0.00622119815668203
COL15A1,0,0,0.772357954545455,0.183030460366909,0,0.0277233477250083,0,0.00232388733359996,0.00866141732283464,0.0564516129032258,0.0098326359832636,0.0172022684310019,0.0358294930875576,0.0208661417322835,0,0.0686440677966102,0.0208990536277603,0.017741935483871
COL16A1,0,0,0.0192329545454545,0.186491865697473,0.0283247863247863,0.0168188863057677,0.0128115577889447,0.0335185396789122,0.00866141732283464,0,0.00564853556485356,0.00396975425330813,0.0197004608294931,0.012992125984252,0,0.000847457627118645,0.0114353312302839,0.0361751152073733
