,B cell,Central venous LSEC,Cholangiocyte,Erythroid,Hepatocyte A,Hepatocyte B,Hepatocyte C,Hepatocyte D,Hepatocyte E,Inflammatory macrophage,NK like cells,Non-inflammatory macrophage,Periportal LSEC,Portal endothelial cells,Stellate cell,T cell CD3 alpha beta,T cell gamma delta
RACK1,0.169500115180834,0.195833333333333,0.457014426092411,0.160057471264368,0.940693388620134,0.314632885211996,1.19803566751589,1.21683121767748,0.460633996441857,0.185889153349201,0.150109011627907,0.169485140226036,0.300493177708368,0.104469273743017,0.286979735468996,0.158335772833724,0.22951901917636
RAG1,0.0105505643860862,0.0126358695652174,0.0116872255906335,0.010632183908046,0,0,0,0,0,0.0121387283236994,0.00730377906976744,0.00184177480117204,0.0083675817853033,0.00949720670391061,0.0101322655017595,0.0138685597189696,0.00977679974850676
RAMP1,0.081271596406358,0.08125,0.0765001045369015,0.0939655172413793,0.260896106887814,0.118618971514525,0.125819662372914,0.10978350907829,0.0446546983664888,0.0850731043862632,0.0799781976744186,0.0719547928003349,0.0663981588032221,0.076536312849162,0.268838733163451,0.0894686768149883,0.0915121031122289
RAMP2,0.0446440912232205,0.137182971014493,0.039075893790508,0.0479885057471264,0,0.0274748519319357,0.0020389374350183,0,0.00131004366812227,0.0354301258075485,0.0349200581395349,0.0241314357471746,0.161910241657077,0.115642458100559,0.0306394854993326,0.0473872950819672,0.0390128890286074
RAMP3,0.0651462796590647,0.248143115942029,0.0371942295630358,0.0422413793103448,0.00916839437917531,0.0341966719939833,0.0105788233053168,0.00940739248214566,0,0.0515810948656919,0.0730741279069767,0.0331310171619925,0.083001808318264,0.346554934823091,0.036524693605145,0.0543398711943794,0.0415278214397988
RARA,0.0787376180603548,0.0694746376811594,0.107024879782563,0.0805555555555555,0.0446440912232205,0.0859969916329792,0.114954324309309,0.0697427631137081,0.0100436681222707,0.0930635838150289,0.0792514534883721,0.106488070322311,0.152539865198093,0.0802607076350093,0.134146341463415,0.0804669203747073,0.0911977365608299
RARB,0.0497120479152269,0.109329710144928,0.0673008572025925,0.0633141762452107,0.0245450357060585,0.0535630346902322,0.0473574767653198,0.0412093939597466,0.0186155587902313,0.0503910234614077,0.0480014534883721,0.040351611552951,0.0504520795660036,0.0560521415270019,0.0698944302875865,0.0522175058548009,0.0418421879911977
RARG,0.0637641096521539,0.100271739130435,0.0873719422956303,0.0623563218390805,0.00433079935498733,0.0463241515464887,0.0164440423184679,0.0167058454787651,0.0009865760957464,0.0614416865011901,0.0668968023255814,0.0450606948514023,0.0737958244287358,0.0523277467411546,0.0663147676252882,0.0779786299765808,0.086482238289846
RARRES1,0.0428011978806727,0.0427536231884058,0.0591469788835459,0.0135057471264368,0.0124510481455886,0.029872144401617,0.0137693754613205,0.0117693151543645,0.0009865760957464,0.0463107786467188,0.0378270348837209,0.0283172875680201,0.036971888870623,0.0523277467411546,0.0441087246693362,0.0408738290398126,0.0368123231688148
RARRES2,0.352637641096522,0.417300724637681,0.836483378632657,0.319061302681992,3.22386546878599,1.30725298486415,4.5970610411359,4.25359213737211,1.21803331715995,0.370180210812649,0.311446220930233,0.338698200083717,0.393703764589841,0.266480446927374,0.977854629292562,0.336321721311475,0.40304935554857
RB1,0.0296705828150196,0.0432065217391304,0.0376123771691407,0.0173371647509579,0.0312255240727943,0.0337736203816866,0.0451272649348794,0.0354557055544362,0.00211871259906194,0.0410404624277457,0.0309229651162791,0.0347007115948095,0.0451915173434161,0.00949720670391061,0.0404683897585245,0.0347262880562061,0.0342973907576234
RBM47,0.0335867311679337,0.0368659420289855,0.134413547982438,0.0115900383141762,0.0880096751900484,0.0662075773244336,0.172281086057605,0.103391765733092,0.00389778424712922,0.0497109826589595,0.0283793604651163,0.0832565927166178,0.0101759000493178,0.0281191806331471,0.0253609998786555,0.0359704332552693,0.026752593524049
RBPJ,0.0872609997696383,0.0959692028985507,0.122078193602342,0.0910919540229885,0.0610573600552868,0.088723324245558,0.100255561640357,0.0846866814426758,0.0047064531780689,0.106664399863992,0.101053779069767,0.0866052741732943,0.0936873253328949,0.0709497206703911,0.0931319014682684,0.105788934426229,0.0984281672430053
REG1A,0.030361667818475,0.0232789855072464,0.0348944177294585,0.0221264367816092,0.00317899101589496,0.0213171006862837,0.00963435637356445,0.00720218505832046,0.0009865760957464,0.0253995239714383,0.0222020348837209,0.0246546672247802,0.0164228176886405,0.0206703910614525,0.0165028515956801,0.0304083723653396,0.0251807607670544
RELA,0.0425708362128542,0.0604166666666667,0.0775454735521639,0.0431992337164751,0.119741994932043,0.0902745134906458,0.219488559251411,0.134779591197081,0.0155426168526605,0.0509010540632438,0.0509084302325581,0.0487233151946421,0.0754397501232944,0.0262569832402235,0.0718966144885329,0.0567549765807963,0.0767368751964791
RELT,0.0810412347385395,0.0644927536231884,0.0706460380514321,0.0738505747126437,0.0196498502649159,0.0596737802011845,0.0429764200734938,0.0186535921373721,0.00745592754326379,0.129275756545393,0.0890625,0.139974884889075,0.0756041426927503,0.0616387337057728,0.0511467054969057,0.0956894028103045,0.0820811065702609
RGCC,0.0573139829532366,0.0459239130434783,0.0608195693079657,0.0556513409961686,0.0146970744068187,0.0393202970762433,0.0284998849178949,0.0216423758031656,0.00600032346757238,0.0672220333219993,0.0665334302325581,0.0379447467559648,0.0918790070688805,0.076536312849162,0.0479310763256886,0.0762221896955503,0.0757937755422823
RGS1,0.0803501497350841,0.0300724637681159,0.0606104955049132,0.115996168582375,0.0130269523151348,0.0621650841402651,0.0224045016944848,0.0350415295408243,0.00567685589519651,0.210370622237334,0.267841569767442,0.404311427375471,0.0683708696366924,0.0132216014897579,0.0641912389273146,0.243815866510539,0.0509588179817667
RGS13,0,0.00108695652173913,0.00457871628684926,0.00201149425287356,0,0,0,0,0,0.00227813668820129,0.0018531976744186,0,0.00277823442380404,0,0.000728066982162358,0.00472043325526932,0.00317510216912921
RGS2,0.290209629117715,0.0744565217391304,0.184800334518085,0.248180076628353,0.0217231052752822,0.137092225251481,0.039619197282475,0.0740300445519063,0.0213650331554262,0.941074464467868,0.215515988372093,0.412683131017162,0.360825250698668,0.0188081936685289,0.610302147797597,0.414995608899297,0.156585979251808
RGS5,0.125270674959687,0.0771739130434783,0.0817269496132135,0.0767241379310345,0.0264455194655609,0.0653614740998402,0.0249204346135226,0.0586831441556406,0.0359210739123403,0.0937436246174771,0.0701671511627907,0.0717455002092926,1.30295906625021,0.0746741154562384,0.283521417303725,0.0810524004683841,0.0748506758880855
RNF43,0.0243722644551947,0.0321105072463768,0.0581016098682835,0.0403256704980843,0.0118175535590878,0.0364529472595657,0.0603022294181607,0.0200864172655428,0,0.0342400544032642,0.0331031976744186,0.0177480117203851,0.0165872102580963,0.0150837988826816,0.0237835214173037,0.0350922131147541,0.0368123231688148
ROR1,0.0416493895415803,0.0305253623188406,0.0315492368806189,0.0556513409961686,0.0180373185901866,0.0408714863213312,0.0124518837750105,0.0162021178946426,0.00761766132945172,0.0327099625977559,0.0276526162790698,0.037316868982838,0.0179023508137432,0.0337057728119181,0.0268778060914937,0.0346531030444965,0.0317824583464319
RORA,0.0513245795899562,0.0576992753623188,0.0854902780681581,0.0460727969348659,0.195876526146049,0.153779261069851,0.359547449542449,0.190906038014642,0.0402878861394145,0.0507310438626318,0.0796148255813953,0.0422352448723315,0.0455203024823278,0.0430167597765363,0.106419123892731,0.092469262295082,0.120748192392329
RPL21,1.14922828841281,1.12835144927536,1.81745766255488,1.02691570881226,1.74125777470629,1.29244617843377,2.74120733033326,2.7308460384624,0.964758207989649,1.17721863311799,1.23041424418605,1.02099204688154,1.30953476902844,0.832588454376164,1.35760223273875,1.29050790398126,1.45586293618359
RPL22,0.241603317208017,0.25606884057971,0.536044323646247,0.242432950191571,0.9140866159871,0.365634107361098,1.38069874679556,1.49534779591197,0.662316027818211,0.271234274056443,0.229324127906977,0.242109669317706,0.403567318757192,0.158472998137803,0.37556121829875,0.257355093676815,0.309996856334486
