,Acinar,B cell,Dendritic cell,Endothelial,Fibroblast,Macrophage,Mast cell,Mesenchymal cell,Monocyte,Neutrophil,NK cell,Pancreatic A cell,Pancreatic D cell,Pancreatic ductal cell,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory,Type B pancreatic cell
IFNG,0,0.0151175811870101,0.00478468899521532,0,0,0,0,0,0,0,0.0219660722053067,0,0.00610687022900763,0,0,0,0.00775623268698061,0.0563858205183741,0.0314327485380117,0
IFNGR1,0.463598740713883,0.164053751399776,0.588118022328549,0.259897879025923,0.263949088407293,0.736980532146498,0.15046593633158,0.315121136173768,0.963614895152297,0.283703912186884,0.286428882122662,0.202862821541872,0.280916030534351,0.335003212202609,0.095464270432178,0.210526315789474,0.29196675900277,0.318388564002599,0.267543859649123,0.395658328770416
IFNGR2,0.198471733946258,0.419372900335946,0.436602870813397,0.160830714846819,0.16776172457287,0.810065731795816,0.159326499055037,0.146622967675599,1.12771958979293,0.321137067267098,0.121139625924315,0.301991361846883,0.366412213740458,0.440215639600051,0.127171587505349,0.103383458646617,0.0919667590027701,0.126344668255,0.0869883040935673,0.396800170942454
IFNL2,0.0230901066815319,0.00447928331466965,0.0426634768740032,0.0314463864886096,0.0179795894966174,0.0140188680036746,0.0629484483788361,0.011336032388664,0.0105613014672119,0.00830284266816775,0.0384949978251414,0.0525360241562512,0.0564885496183206,0.0394495216245305,0.0515618314077878,0.0081453634085213,0,0.067359757418237,0,0.0501876360528319
IFNL3,0.0499967256005329,0.0683090705487122,0.00478468899521532,0.0515023566378633,0.0516397202155716,0.015294073232016,0.150155039393915,0.00791722896986055,0.00349856777381759,0.0181067642367952,0.0467594606350587,0.0289339907502962,0.0229007633587786,0.0699031266167613,0.143702752817002,0.12719298245614,0.028808864265928,0.0536423362934084,0,0.0476502090038596
IGF1,0.0591739888095402,0.217245240761478,0.0123604465709729,0.0839650432050275,0.298916408668731,0.117708993133188,0.0548651279995418,0.473851294903926,0.0604158922441126,0.0510835913312693,0.0591561548499348,0.0794060314184153,0.0534351145038168,0.0512154983418562,0.0605049208386821,0.103383458646617,0.155124653739612,0.111255505017688,0.128654970760234,0.0797486611733597
IGF1R,0.342157813276172,0.153415453527436,0.0729665071770335,0.153927729772192,0.14379658296067,0.0749896179837495,0.298919224066696,0.0845961056487372,0.0558458880895633,0.153579135003284,0.0756850804697695,0.283472843328365,0.427480916030534,0.335235872759166,0.319854514334617,0.0557644110275689,0.028808864265928,0.0961663417803769,0.0592105263157895,0.703321358458313
IGF2,0.00910570560113981,0.0789473684210526,0.0653907496012759,0.0769687745483111,0.0735351450521729,0.0528329271413171,0.0284388882980029,0.0804447014973331,0.0450440600879015,0.0172154986396472,0.0674206176598521,0.0460000764438329,0.0809160305343511,0.117532066266275,0.0149764655541292,0.0081453634085213,0.0182825484764543,0.0646162731932712,0.0730994152046784,0.258002911363667
IGF2R,0.351650696648452,0.164053751399776,0.141148325358852,0.208778476040848,0.199134273592478,0.3498760450181,0.216065190178929,0.185695006747638,0.40067347429646,0.274791256215405,0.26163549369291,0.164010243473608,0.299236641221374,0.423480698139109,0.196277278562259,0.18671679197995,0.197229916897507,0.284095011190528,0.0592105263157895,0.364447976068056
IGFBP3,0.0193208735778325,0.0257558790593505,0.0502392344497608,0.0543941476826394,0.0709752321981424,0.0128233631021045,0.0366776571461297,0.0445472655998972,0.00889948177464851,0.0136504362510554,0,0.0721438672935061,0.0793893129770992,0.0400727195438803,0.0293396091855655,0.0200501253132832,0.028808864265928,0.0659880153057541,0.0314327485380117,0.130497202152807
