,B cell,Endothelial,Fibroblast,Glomerular endothelium,Macrophage,Malignancy A,Malignancy B,Mast cell,Mesangial cell,Monocyte,Myofibroblast A,Myofibroblast B,Neutrophil,NK cell,Pelvic epithelium,Plasma,Plasmablast,Podocyte,Principal cell,Smooth muscle,T cell,Transitional urothelium,Tubule,Type A intercalated cell
NFKB1,0.047340550717816,0.0569812474520995,0.0611184834123223,0.00621468926553672,0.0349862258953168,0.131846339155123,0.107626757562846,0.0253012048192771,0.0362672322375398,0.0697604790419162,0.0394477611940299,0.036986301369863,0,0.0426898375519456,0,0.0365503080082136,0.0315825846579129,0.0226724137931034,0,0.0205837173579109,0.0547515872216064,0,0.0797307791871602,0.0471428571428571
NFKB2,0.070169451635679,0.0505605381165919,0.056,0.0288135593220339,0.0292011019283747,0.130899939774585,0.062036642522369,0.0132530120481928,0.0284906327324143,0.0342929525564256,0.0441243781094527,0.0308394801545486,0,0.0426898375519456,0,0.0447638603696099,0.0467864547339323,0.0261206896551724,0,0.0340245775729647,0.0595888340219692,0,0.102769867978255,0.0471428571428571
NFKBIA,0.216321487408802,0.404922543823889,0.359696682464455,0.232203389830508,0.241873278236915,1.30176804611546,0.906092884533447,0.133734939759036,0.219370802403676,0.248940580377706,0.236860696517413,0.185563751317176,0.085799522673031,0.175670570457121,0,0.186447638603696,0.21782999308915,0.322672413793103,0,0.169969278033794,0.261644663912123,0,0.329536629562516,0
NFKBIB,0.0412214638738527,0.054025682837342,0.0563791469194313,0.011864406779661,0.0283746556473829,0.152322980297686,0.16003408606732,0.0253012048192771,0.0341463414634146,0.0421234454168586,0.0378557213930348,0.0222339304531085,0.0165871121718377,0.0634680770683793,0,0.0498973305954825,0.0485141672425708,0.0278448275862069,0,0.0228878648233487,0.042053814370654,0,0.0924152213305721,0.0757142857142857
NFKBIE,0.0562838314897623,0.0345597227884223,0.025478672985782,0.00621468926553672,0.0258953168044077,0.0707605609567237,0.0692799318278653,0.0132530120481928,0.0193001060445387,0.0232381391064026,0.020044776119403,0.0283807516684229,0,0.0272006044578768,0,0.0283367556468173,0.0326192121630961,0.0157758620689655,0,0.0201996927803379,0.0412476065705936,0,0.0833549055138493,0.0757142857142857
NFKBIZ,0.0567545304777595,0.069720750101916,0.0381800947867299,0.00621468926553672,0.0451790633608815,0.102507958358427,0.0535151256923732,0.0253012048192771,0.0306115235065394,0.0467296176877015,0.0418358208955224,0.0361081840533895,0.0237470167064439,0.0426898375519456,0,0.0704312114989733,0.0384934346924672,0.0433620689655172,0.39,0.0298003072196621,0.0551546911216366,0.0857142857142857,0.284493916645094,0
NFYA,0.0440456578018357,0.038330615572768,0.0381800947867299,0.0288135593220339,0.0286501377410468,0.0927858556310763,0.047976139752876,0.0373493975903614,0.0348533050547897,0.0306080147397513,0.025318407960199,0.0308394801545486,0.0094272076372315,0.0268228182848508,0,0.0262833675564682,0.0346924671734623,0.0330172413793103,0,0.0186635944700461,0.0417514864456314,0,0.072482526533782,0.0757142857142857
NFYB,0.0235702518239586,0.0463819812474521,0.0442464454976303,0.0175141242937853,0.015702479338843,0.116273767529898,0.0922880272688539,0.0253012048192771,0.0281371509367268,0.0195532012897282,0.0281044776119403,0.0259220231822972,0.0165871121718377,0.0317340385341896,0,0.0273100616016427,0.0263994471319972,0.0226724137931034,0,0.0221198156682028,0.0361080318452081,0,0.069117266373285,0.0757142857142857
NFYC,0.0574605789597552,0.0754280472890338,0.100928909952607,0.0401129943502825,0.0559228650137741,0.215473629871806,0.152790796761824,0,0.0426299045599152,0.060087517273146,0.0436268656716418,0.0378644186863365,0.0118138424821002,0.0627125047223272,0,0.0529774127310062,0.0588804422944022,0.0261206896551724,0,0.0574500768049155,0.054146931371561,0,0.137716800414186,0.104285714285714
NGLY1,0.0459284537538244,0.0349673868732165,0.0307867298578199,0.0175141242937853,0.0267217630853994,0.113004387851673,0.0535151256923732,0.0132530120481928,0.00374690703428773,0.0260018424689083,0.0150696517412935,0.0138040042149631,0,0.0192670948243294,0,0.0971252566735113,0.0391845196959226,0.0278448275862069,0,0.00791090629800307,0.0338909603950418,0,0.0437483820864613,0.0185714285714286
NHLRC2,0.035337726523888,0.0482164696290257,0.0554312796208531,0.00056497175141243,0.0380165289256198,0.116531876451863,0.0974009373668513,0.0253012048192771,0.0238953693884765,0.0430446798710272,0.0283034825870647,0.0325957147874956,0.0165871121718377,0.0290895353230072,0,0.0416837782340862,0.0457498272287491,0.070948275862069,0.19,0.0201996927803379,0.0283482817696261,0,0.0781775821900078,0.132857142857143
NHLRC3,0.0388679689338668,0.038126783530371,0.0584644549763033,0.0231638418079096,0.0451790633608815,0.271913447474834,0.0675756284618662,0.0253012048192771,0.0185931424531637,0.0278443113772455,0.0402437810945274,0.023112047769582,0,0.0332451832262939,0,0.0375770020533881,0.0333102971665515,0.0433620689655172,0,0.0132872503840246,0.0348987201451174,0.0380952380952381,0.0579860212270256,0.104285714285714
