,Acinar A,Acinar B,Active stellate,Alpha cells,Beta cells,Delta cells,Ductal,Epsilon cells,Gamma cells,Macrophage,Quiescent stellate
CFHR1,0,0,0.0137593984962406,0,0.00131782945736434,0.00392523364485981,0,0,0,0,0
CFHR2,0,0,0,0,0,0.00392523364485981,0,0,0,0,0
CFHR3,0,0,0.003734335839599,0,0.00810077519379845,0,3.53837778987471e-05,0,0,0.00442970822281167,0
CFHR4,0.00476613088781514,0.00522663682148853,0.0024812030075188,0.0126720647773279,0.0265116279069767,0,0.0135084376701143,0,0,0.00708222811671087,0.0112115598369767
CFHR5,0,0,0,0.00862348178137652,0,0.00392523364485981,0,0,0.0108108108108108,0,0
CFI,0.0280379975676298,0.0427196418578623,0.0513533834586466,0.0531578947368421,0.0332945736434109,0.06,0.153682634730539,0,0.0378378378378378,0.0256498673740053,0.0575250092626899
CFL1,0.1303290273806,0.231863458310017,0.345839598997494,0.271781376518219,0.12922480620155,0.11607476635514,0.235609689711486,0,0.172972972972973,0.57737400530504,0.279829566506113
CFLAR,0.0289254840088091,0.0284499160604365,0.0438345864661654,0.0187449392712551,0.0604263565891473,0.00392523364485981,0.0650870985302123,0,0,0.0694164456233422,0.0512263801407929
CFP,0.000920356309371199,0.000470061555679911,0,0,0.00325581395348837,0,0.00057974959172564,0,0.0378378378378378,0,0
CFTR,0.0217598527429905,0.0214549524342473,0,0,0.0051937984496124,0.0226168224299065,0.182670114316821,0,0,0.00575596816976127,0.00898851426454242
CGA,0.00463465141504783,0.00774482372691662,0.0062406015037594,0.0248178137651822,0.0129457364341085,0.0226168224299065,0.0080647795318454,0,0,0.00575596816976127,0.00380140792886254
CGAS,0.0214968937974559,0.0141801902630106,0,0.0045748987854251,0.00810077519379845,0,0.00615949918345128,0,0,0.0309549071618037,0.0238088180807707
CGB2,0.00167636327778326,0.0105428091773923,0.0012280701754386,0,0,0.0319626168224299,0.00697604790419162,0,0,0.000450928381962864,0
CGB3,0.00798737797061434,0.0144599888080582,0,0.0167206477732793,0.0187596899224806,0.00392523364485981,0.015141535111595,0,0,0.00310344827586207,0.00528343831048537
CGB7,0.00525917891069257,0.00998321208729715,0.0074937343358396,0,0.0236046511627907,0.0132710280373832,0.0118753402286336,0,0,0.0137135278514589,0.00824749907373101
