,B cell,Dendritic cell,Endothelial,Fibroblast,Macrophage,Mast cell,Monocyte,Neutrophil,NK cell,Plasma,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory
ADGRL4,0,0,0.464397678183767,0.000423031800361705,0,2.91124983296115e-05,0.00234519590172858,0.0134855326373587,0,0,0,0,0,0.00113741406204865,0.00396850959585015
ADGRV1,0,0,0,0,0,0,0,0,0,0,0.00258867591980613,0,0,0.000830404737983484,0.00426122819923386
ADIPOQ,0.00925547595243835,0.0107119028636531,0.0135323694100467,0.00768278748118813,0.0139338205432064,0.00927829639386824,0.00866558201986234,0.0104656287252104,0.00812817365773831,0.00269279986743139,0,0.0136003767808784,0.0143130886439569,0.00821566561437968,0.00760212564253551
ADIRF,0.0733744037998743,0.0432046949555482,0.179031371869101,0.0584838682087863,0.0573670048255854,0.0679471393390986,0.0486563887309632,0.0298204674348878,0.0492296317687986,0.0477339053423308,0.118913857677903,0.0335556340515719,0.0518169648211456,0.0571842250294814,0.0614718070514742
ADM2,0.00234805047004478,0.00105559422789274,0.00453130227322122,0.00400497017725439,0.00256110082495226,0.00556048718095565,0,0.00250406386591049,0.0054354946961979,0.00161414556156001,0.00765587133729897,0.0022357235370305,0.00365879147803863,0.0142921830567088,0.0149815403428911
ADORA2A,0.0163130628583622,0.0143272980400753,0.0260132305430676,0.00196446993509864,0.00559224324116055,0.0111825401370674,0.00406893757031052,0.0726481956435357,0.0210327105677622,0.00619113815674397,0.0110707204230007,0.0171797951253974,0.0439984569615771,0.0261948618048164,0.0339575128474034
AGR2,0.001447081928863,0,0.00388174072726474,0.0073435235855044,0.0170995045288025,0.00782744401809747,0.00498826646022088,0.0174663150670086,0.00523227364249673,0.012313230163041,0.0112359550561798,0,0.00303838028879582,0.00233973514413058,0.00310804896795514
AHI1,0.038086469270255,0.023617490708603,0.0750783258894231,0.0681356801975856,0.0535127845731221,0.0652267911345284,0.0195826125875479,0.00826933497092078,0.0210327105677622,0.0312334097444065,0.0374531835205992,0.0235332626869186,0.0468146789463528,0.0345152479969995,0.0311015488367998
AHR,0.0545291451468223,0.179171012286563,0.217007523680914,0.111556541977049,0.169677558424572,0.165426283336197,0.101632716012048,0.0182899252248672,0.0386113317129128,0.0289886426754309,0.00886759198061247,0.0391037324855764,0.10404854217435,0.0366969482082282,0.0617676353958173
AKT1,0.0934960345529339,0.0969322131469353,0.187336480206688,0.131273182871133,0.158653063944734,0.079463280071779,0.0830163059913631,0.0276241736805982,0.081440168780433,0.0590451991444415,0.0326613791584049,0.0497525020605204,0.104881257570405,0.12894534967407,0.104123385635635
