,B cell,Central venous LSEC,Cholangiocyte,Erythroid,Hepatocyte A,Hepatocyte B,Hepatocyte C,Hepatocyte D,Hepatocyte E,Inflammatory macrophage,NK-like cell,Non-inflammatory macrophage,Periportal LSEC,Portal endothelial cells,Stellate cell,T cell CD3 alpha beta,T cell gamma delta
NDUFA1,0.0750556792873051,0.0784764207980653,0.199832635983264,0.0798516687268232,0.576088752507966,0.480037365070578,0.288610528639223,0.339742857142857,0.387180079460408,0.0673851590106007,0.0475609756097561,0.099935691318328,0.0975121359223301,0.0121951219512195,0.161376284246575,0.0589564220183486,0.148748043818466
NDUFA10,0.0683741648106904,0.0796856106408706,0.129539748953975,0.0588380716934487,0.155694559188009,0.165478826460006,0.159264981790089,0.154885714285714,0.108791462625889,0.0292226148409894,0,0.0562057877813505,0.0518001618122977,0.0203252032520325,0.0682684075342466,0.0334977064220184,0.0715440792905582
NDUFA11,0.0750556792873051,0.0808948004836759,0.182259414225941,0.0674907292954264,0.251764428183642,0.257922778854138,0.220075046904315,0.252885714285714,0.201187286334658,0.0610247349823322,0.0475609756097561,0.0607073954983923,0.0687904530744337,0.0203252032520325,0.12199272260274,0.0548279816513761,0.0971048513302034
NDUFA12,0.032739420935412,0.0180169286577993,0.0542259414225941,0.0217552533992583,0.1278413784964,0.104725989482425,0.0615936430857521,0.0831714285714286,0.0856925066986972,0.0165017667844523,0,0.0137620578778135,0.0263147249190938,0,0.0395869006849315,0.00895642201834862,0.0532863849765258
NDUFA13,0.0594654788418708,0.0325272067714631,0.187280334728033,0.0489493201483313,0.224855423108698,0.211008856905619,0.148559761615716,0.196028571428571,0.164598540145985,0.0624381625441696,0.0231707317073171,0.0742122186495177,0.076881067961165,0.0772357723577236,0.103371147260274,0.037855504587156,0.086150234741784
NDUFA2,0.0706013363028953,0.07726723095526,0.208200836820084,0.0897404202719407,0.38701758527086,0.328224467201771,0.214225802891513,0.266028571428571,0.292659151806338,0.0871731448763251,0.145121951219512,0.0941479099678457,0.0829490291262136,0.0447154471544715,0.113217037671233,0.0461123853211009,0.102321335419927
NDUFA4,0.0305122494432071,0.07726723095526,0.152133891213389,0.0452410383189122,0.37132066564381,0.282694436756158,0.179902880476769,0.235171428571429,0.244058948535526,0.0306360424028269,0.120731707317073,0.0369131832797428,0.0764765372168285,0.0447154471544715,0.145965325342466,0.0305160550458716,0.0705007824726135
NDUFA4L2,0.032739420935412,0.00592503022974607,0.0190794979079498,0.0069221260815822,0.00025964829458279,0.00785358427899252,0.00188720891733804,0,0,0.00590106007067138,0,0.000257234726688101,0.119761326860841,0,0.0391588184931507,0.00872706422018349,0.00633802816901408
NDUFA6,0.0505567928730512,0.0373639661426844,0.0910460251046025,0.0415327564894932,0.250938274519061,0.201183227234985,0.144365964021631,0.183742857142857,0.190746558255567,0.0369964664310954,0.0963414634146341,0.0388424437299035,0.0420914239482201,0.0691056910569106,0.069552654109589,0.0284518348623853,0.0501564945226917
NDUFA7,0.0282850779510022,0.016807738814994,0.0826778242677824,0.0217552533992583,0.125008851646406,0.106248270135621,0.0837766250965677,0.0951714285714286,0.0911438602975145,0.0334628975265018,0,0.0137620578778135,0.0392597087378641,0.0365853658536585,0.0327375856164384,0.017901376146789,0.0277256129368805
NDUFA8,0.0171492204899777,0.00713422007255139,0.0224267782426778,0.0180469715698393,0.0946772099610527,0.068052864655411,0.0535371371813266,0.0683142857142857,0.056680218054144,0.0235689045936396,0.0231707317073171,0.00990353697749196,0.0174150485436893,0,0.0198951198630137,0.00299311926605504,0.0193792383933229
NDUFAB1,0.0416481069042316,0.0337363966142684,0.0634309623430962,0.0242274412855377,0.17941697155671,0.14416689731525,0.0988963690541883,0.106028571428571,0.109715420862977,0.0299293286219081,0.0231707317073171,0.0279099678456592,0.029955501618123,0.0365853658536585,0.0485766267123288,0.0183600917431193,0.0496348461137193
NDUFAF2,0.0438752783964365,0.0301088270858525,0.045857740585774,0.00939431396786156,0.0604508438569574,0.0535220038748962,0.0367619468049884,0.0523142857142857,0.0415273029659059,0.017208480565371,0.0231707317073171,0.0201929260450161,0.0344053398058252,0.0447154471544715,0.0329516267123288,0.0123967889908257,0.0318988002086594
NDUFAF5,0.0238307349665924,0.0240628778718259,0.0475313807531381,0.0266996291718171,0.0513631535465597,0.0715125934126764,0.0798035536916455,0.0826,0.0527995934583757,0.0313427561837456,0.0231707317073171,0.0201929260450161,0.0190331715210356,0.00406504065040651,0.0250321061643836,0.0151490825688073,0.0371152842983829
NDUFAF6,0,0.00229746070133011,0.0107112970711297,0.00568603213844252,0.0296471143632716,0.0272280653196789,0.0194349409557444,0.0374571428571428,0.0246188672272013,0.0108480565371025,0.0475609756097561,0.0047588424437299,0.00325647249190939,0,0.00469820205479452,0,0.00216484089723526
NDUFAF7,0.0282850779510022,0.00834340991535671,0.0266108786610879,0.0118665018541409,0.0271686533695267,0.0341475228342098,0.0351065003862708,0.0383142857142857,0.0238797006375312,0.0108480565371025,0.0475609756097561,0.0156913183279743,0.0109425566343042,0.0203252032520325,0.0175406678082192,0.0130848623853211,0.0204225352112676
NDUFB1,0.0861915367483296,0.0724304715840387,0.148786610878661,0.0514215080346106,0.494771627522719,0.419146138942707,0.306599713055954,0.312028571428571,0.377940497089532,0.0765724381625442,0,0.0729260450160772,0.0582726537216828,0.0203252032520325,0.134407106164384,0.0474885321100917,0.0955399061032864
NDUFB10,0.0795100222717149,0.0591293833131802,0.142928870292887,0.0254635352286774,0.299799362681459,0.240624135067811,0.147345767575323,0.196314285714286,0.194442391203918,0.0652650176678445,0,0.0388424437299035,0.0756674757281553,0.0284552845528455,0.0903146404109589,0.022947247706422,0.0887584767866458
NDUFB11,0.0839643652561247,0.043409915356711,0.152970711297071,0.0823238566131026,0.292836067508557,0.256677276501522,0.174053636463966,0.235171428571429,0.214122701653885,0.0483038869257951,0.0719512195121951,0.0523472668810289,0.0574635922330097,0.0203252032520325,0.0898865582191781,0.0293692660550459,0.0997130933750652
NDUFB2,0.0706013363028953,0.0264812575574365,0.127866108786611,0.0514215080346106,0.280679806443999,0.245329366177692,0.159927160357576,0.2026,0.193980412085374,0.0525441696113074,0.0719512195121951,0.0427009646302251,0.0509911003236246,0.00406504065040651,0.0793985445205479,0.0277637614678899,0.104929577464789
NDUFB3,0.0238307349665924,0.0349455864570738,0.0609205020920502,0.0180469715698393,0.151799834769267,0.117319402158871,0.0777066548946032,0.0811714285714286,0.105095629677539,0.0193286219081272,0,0.017620578778135,0.0238875404530744,0.00406504065040651,0.041941352739726,0.00987385321100917,0.02981220657277
NDUFB4,0.108463251670379,0.07726723095526,0.23581589958159,0.0786155747836836,0.453345922341555,0.369326044838085,0.242699481293455,0.269742857142857,0.300143213526749,0.0808127208480565,0,0.0742122186495177,0.1104571197411,0.0609756097560976,0.156239297945205,0.0516169724770642,0.11849243609807
NDUFB6,0.032739420935412,0.0567110036275695,0.119497907949791,0.0415327564894932,0.195585978992093,0.17101439247163,0.110043041606887,0.113742857142857,0.127270627367643,0.040530035335689,0.0719512195121951,0.0285530546623794,0.0574635922330097,0.0203252032520325,0.0590646404109589,0.0337270642201835,0.0522430881585811
NDUFB7,0.0616926503340757,0.0929866989117291,0.186443514644351,0.0711990111248455,0.412746370824973,0.357562967063382,0.235967332524004,0.2826,0.263462071514368,0.0645583038869258,0.0719512195121951,0.0568488745980707,0.079712783171521,0.0284552845528455,0.12734375,0.0511582568807339,0.110146061554512
NDUFB8,0.130734966592428,0.073639661426844,0.175564853556485,0.0662546353522868,0.246689484244069,0.261797675062275,0.212459993378214,0.264028571428571,0.199246974036774,0.0772791519434629,0.0475609756097561,0.099935691318328,0.0954894822006472,0.0121951219512195,0.124347174657534,0.0571215596330275,0.115884194053208
NDUFB9,0.0260579064587973,0.0482466747279323,0.116987447698745,0.0402966625463535,0.293662221173138,0.251556877940769,0.161803332965456,0.234314285714286,0.203404786103668,0.0426501766784452,0.0231707317073171,0.032411575562701,0.0372370550161812,0.0365853658536585,0.0838934075342466,0.0351032110091743,0.0501564945226917
NDUFC1,0.0394209354120267,0.016807738814994,0.0709623430962343,0.0131025957972806,0.160415437271332,0.118288126210905,0.0899569583931134,0.0997428571428571,0.129488127136653,0.0115547703180212,0,0.0208360128617363,0.0210558252427184,0.0284552845528455,0.0511451198630137,0.0105619266055046,0.0245957224830464
NDUFS1,0.0438752783964365,0.0180169286577993,0.0701255230125523,0.0304079110012361,0.0927888587277234,0.118980071962358,0.0927160357576426,0.0934571428571428,0.0746974036773538,0.0235689045936396,0,0.0330546623794212,0.0311690938511327,0.00406504065040651,0.0485766267123288,0.0190481651376147,0.0365936358894105
NDUFS2,0.0149220489977728,0.0228536880290206,0.0266108786610879,0.00815822002472188,0.0422754632361619,0.0457722114586216,0.0366515837104072,0.0391714285714286,0.0254504296405802,0.024982332155477,0.0719512195121951,0.0092604501607717,0.0162014563106796,0.00406504065040651,0.0235338184931507,0.0057454128440367,0.0167709963484611
NDUFS3,0.0282850779510022,0.0385731559854897,0.0893723849372385,0.022991347342398,0.168322908060899,0.15302380293385,0.0881911488798146,0.113457142857143,0.102416150789984,0.0362897526501767,0.0475609756097561,0.0266237942122186,0.0323826860841424,0.0121951219512195,0.0395869006849315,0.016295871559633,0.0438967136150235
NDUFS4,0.0238307349665924,0.0228536880290206,0.042510460251046,0.00321384425216317,0.152153900625516,0.125207583725436,0.0892947798256263,0.113171428571429,0.108883858449598,0.0129681978798587,0.0719512195121951,0.0227652733118971,0.0210558252427184,0.0121951219512195,0.0421553938356164,0.0176720183486239,0.0245957224830464
